order_item_id,order_id,product_id,quantity,unit_price
1,1,282,1,46.6
2,2,150,1,68.5
3,2,294,2,189.63
4,3,89,1,560.81
5,3,241,4,482.78
6,4,350,1,76.01
7,5,385,1,71.92
8,6,265,2,194.81
9,6,53,3,168.93
10,7,67,2,229.49
11,8,368,3,421.98
12,8,241,3,482.78
13,9,482,1,127.47
14,9,140,1,417.82
15,9,194,2,804.38
16,10,180,1,569.84
17,11,327,1,105.91
18,12,121,1,221.78
19,12,456,2,226.05
20,12,108,3,651.81
21,13,29,5,121.65
22,13,233,1,680.4
23,13,492,1,447.71
24,14,47,1,176.85
25,15,51,1,640.49
26,15,128,3,144.51
27,15,117,1,352.44
28,16,475,3,45.97
29,16,484,2,316.79
30,17,161,1,99.58
31,17,400,3,11.13
32,18,231,1,27.36
33,18,186,1,38.1
34,18,99,2,44.8
35,19,331,2,153.6
36,20,347,2,307.62
37,20,12,2,512.68
38,21,474,2,30.69
39,22,372,3,63.49
40,23,124,1,349.93
41,23,20,3,278.33
42,24,198,2,317.38
43,24,49,2,426.84
44,24,68,1,108.12
45,24,203,2,343.6
46,25,335,3,407.09
47,25,100,1,189.16
48,26,320,3,715.39
49,27,28,1,61.92
50,28,123,3,107.57
51,29,290,1,210.92
52,29,275,4,477.53
53,29,353,2,198.02
54,29,151,3,217.95
55,29,364,3,152.98
56,30,378,1,576.23
57,31,482,1,127.47
58,31,155,1,401.69
59,31,108,1,651.81
60,32,486,1,44.61
61,32,208,4,614.51
62,33,37,3,120.22
63,33,260,4,84.96
64,34,246,1,17.09
65,34,87,1,80.96
66,35,414,1,205.5
67,36,305,3,279.24
68,37,352,4,62.09
69,38,158,1,37.56
70,39,464,1,454.89
71,40,453,1,415.42
72,40,434,1,83.12
73,41,296,10,176.24
74,41,188,2,897.21
75,41,232,2,164.23
76,41,467,1,352.6
77,42,387,1,726.22
78,42,415,4,31.99
79,42,458,1,365.09
80,43,456,1,226.05
81,44,101,2,216.42
82,45,413,1,43.75
83,46,195,4,144.68
84,46,463,2,482.06
85,46,234,3,559.78
86,47,345,1,48.08
87,47,456,1,226.05
88,47,467,10,352.6
89,48,88,1,210.22
90,49,120,3,99.54
91,50,112,1,144.06
92,50,458,4,365.09
93,50,273,1,191.99
94,50,250,1,29.2
95,51,249,3,662.58
96,52,207,1,566.96
97,52,76,4,101.51
98,52,388,1,468.54
99,53,61,1,219.1
100,53,481,1,693.66
101,53,467,1,352.6
102,54,235,1,240.3
103,54,163,1,499.6
104,55,440,1,727.33
105,55,181,1,139.69
106,55,421,1,338.45
107,55,63,5,296.46
108,55,29,2,121.65
109,56,373,3,77.8
110,57,217,1,35.42
111,57,364,2,152.98
112,58,424,2,79.2
113,59,467,2,352.6
114,60,155,1,401.69
115,61,21,1,151.05
116,62,216,1,24.37
117,62,109,2,33.57
118,62,412,3,151.83
119,63,138,1,223.84
120,63,64,3,14.62
121,64,224,2,190.2
122,64,314,1,103.43
123,65,124,4,349.93
124,66,124,3,349.93
125,66,178,1,505.19
126,66,278,5,416.87
127,67,163,1,499.6
128,67,256,4,674.31
129,68,204,3,448.88
130,68,461,1,63.03
131,68,379,4,153.2
132,69,343,1,142.71
133,69,26,1,440.71
134,69,193,1,98.96
135,69,361,1,174.07
136,69,238,1,373.62
137,70,293,1,435.34
138,70,336,4,205.95
139,71,240,2,135.09
140,71,56,1,475.79
141,72,12,2,512.68
142,73,33,4,59.59
143,73,301,3,170.37
144,73,124,2,349.93
145,73,100,1,189.16
146,73,148,1,537.13
147,74,218,3,860.42
148,75,202,2,532.98
149,76,237,2,185.62
150,76,264,4,35.63
151,77,425,2,263.83
152,78,364,2,152.98
153,79,295,1,354.95
154,79,67,1,229.49
155,79,483,1,4.79
156,80,351,10,307.94
157,81,334,1,443.32
158,81,447,1,689.9
159,82,494,1,220.57
160,82,435,1,637.17
161,83,116,2,63.07
162,83,281,3,261.74
163,83,354,5,865.44
164,83,381,3,480.97
165,83,16,5,181.13
166,84,233,1,680.4
167,85,48,2,622.0
168,86,189,3,58.19
169,86,486,1,44.61
170,86,192,2,14.39
171,87,217,10,35.42
172,87,378,5,576.23
173,88,315,10,236.51
174,88,423,1,118.83
175,89,2,2,506.44
176,90,356,2,18.17
177,91,244,1,320.94
178,91,309,1,122.55
179,92,415,2,31.99
180,93,352,2,62.09
181,93,101,1,216.42
182,93,382,1,33.36
183,93,98,3,701.11
184,94,346,2,123.63
185,94,415,1,31.99
186,94,172,4,123.6
187,95,421,1,338.45
188,96,459,1,475.52
189,97,107,1,265.81
190,97,43,4,91.72
191,97,384,2,274.41
192,97,203,1,343.6
193,98,265,4,194.81
194,99,180,2,569.84
195,99,62,5,199.45
196,100,331,1,153.6
197,100,133,4,494.4
198,101,219,2,873.04
199,102,82,1,128.83
200,102,134,1,73.72
201,102,319,4,32.23
202,102,422,2,83.67
203,102,332,4,66.37
204,103,29,3,121.65
205,104,283,2,342.71
206,105,379,5,153.2
207,106,66,1,115.15
208,107,359,1,152.17
209,108,82,10,128.83
210,108,175,10,501.23
211,109,44,1,155.7
212,110,462,1,174.45
213,111,62,3,199.45
